ship-city,Amount
BICHOLIM,9044.14
Dombivli West,9038.0
SANGRUR,9032.0
BHUSAWAL,9030.0
udaipur,9020.0
DHEMAJI,9014.0
NARASAPUR,8986.0
Thane West,8948.0
LALITPUR,8947.29
MAHINDRA WORLD CITY,8947.0
coimbatore,8940.25
Zirakpur,8929.619999999999
SURYAPET,8920.24
DHAMTARI,8917.0
BIHARSHARIF,8910.0
PANDHARPUR,8908.0
MADUKKARAI,8854.1
SHAMLI,8847.81
KAITHAL,8845.0
CANACONA,8844.86
BARUIPUR,8825.0
Ahmednagar,8811.0
NEYVELI,8809.0
BILIMORA,8806.42
Kalyan west,8803.0
THENI ALLINAGARAM,8792.0
GANJAM,8769.67
SUPAUL,8768.0
CHANDI MANDIR,8749.0
KOPPAL,8743.0
SATHUPALLY,8722.0
PALWAL,8646.0
MANDLA,8646.0
BHADRAK,8640.0
SANGAMNER,8624.0
MARALIA,8621.72
RANGIA,8601.79
KANJIRAPPALLY,8600.71
UNA,8599.25
BONGAIGAON,8566.29
DALTONGANJ,8549.24
Shimoga,8541.0
RANEBENNUR,8508.48
Edapally,8500.0
faridabad,8488.0
RANIKHET,8463.96
ghaziabad,8454.33
HSIIDC SOHNA,8441.14
NAKODAR,8436.0
Barrackpore,8411.1
secunderabad,8411.0
Teh. Phagwara Distt. Kapurthala,8383.0
Mandi,8361.0
MANESAR,8350.0
Berhampur,8342.0
CORBETT,8337.0
JASHPURNAGAR,8328.53
MAHAD,8301.0
NARASIMHANAICKENPALAYAM,8299.0
CHURU,8261.62
HALDWANI,8259.0
BHAWANIPATNA,8254.0
PEDDAPALLE,8249.0
NALBARI,8247.19
Amravati,8244.0
Nagaon,8241.67
ACHAMPET,8203.29
CHIRAWA,8198.0
MUDBIDRI,8197.0
JOGABANI,8167.0
KAVALI,8165.0
MANALI,8145.0
TIRUPATHUR VELLORE DISTRICT,8100.0
DHARUHERA,8082.24
Agartala,8058.0
VENKATAGIRI,8036.0
VYARA,8034.0
TANUKU,8031.0
CHANDANNAGAR,8028.0
VASAI,8010.33
Shimla,8008.0
NEW RAIPUR,8007.82
GUNTAKAL,8002.0
CHITTUR THATHAMANGALAM,7999.0
PALAMANER,7970.0
ADAMPUR,7964.0
Nanded,7961.62
Ongole,7946.0
PURULIYA,7939.0
GUDIYATHAM,7931.0
KUNDAPURA,7929.8099999999995
New Town,7924.0
Silvassa,7919.48
Aurangabad,7919.0
Ludhiana,7913.9
HAJIPUR,7876.5
NEYYATTINKARA,7866.0
Nagercoil,7863.71
JORETHANG,7854.0
ABU ROAD,7843.29
BHADRAVATI,7822.0
Kadapa,7821.29
CHAMARAJANAGAR,7816.0
DIU,7811.0
BENGALURU 560037,7788.0
Bareilly,7787.8099999999995
SINGRAULI,7786.0
Azamgarh,7778.0
VIJAY PORE,7777.43
DOMBIVLI,7775.76
PARBHANI,7769.0
UNCHAHAR,7765.0
JAMUHAN,7758.0
AMROHA,7752.0
Nizamabad,7751.0
KALKA,7739.48
visakhapatnam,7726.0
VAZHAKKALA,7722.0
IDAR,7707.96
VERNA,7700.57
Irinjalakuda,7696.0
Sangareddy,7689.38
THOTTADA,7688.0
WALUJ MIDC,7681.0
MUMBAI 400102,7648.0
GANGAWATI,7644.1900000000005
MANNARGUDI,7641.1
JAGATSINGHAPUR,7617.43
KARORAN,7606.0
navi mumbai,7581.0
PUNNAPARA,7579.28
EAST GODAVARI,7566.95
TIRURANGADI,7566.71
GODHRA,7560.0
JEHANABAD,7537.0
CUNCOLIM,7517.33
JHAJJAR,7517.0
DOIWALA,7496.0
KARIVELLUR,7475.58
Virar West,7465.29
Bathinda,7450.0
Trichy,7422.0
RANIPETTAI,7411.0
PAKAUR,7408.0
Aligarh,7403.1900000000005
KUSHALANAGARA,7400.95
Hassan,7386.67
Secundrabad,7371.0
KUNNAMKULAM,7344.0
RAWATBHATA,7337.48
MARAIMALAINAGAR,7336.0
SAHARSA,7319.0
HUBLI,7311.0
TARANAGAR,7303.57
Vasai,7292.0
RAYADURG,7257.1
PALLIKKUNNU,7247.29
HATHRAS,7241.48
NAJIBABAD,7228.0
OOTY,7222.48
BAMBOOFLAT,7208.24
Vikarabad,7200.0
BUDGE BUDGE,7197.0
KHURJA,7193.36
